Equipment ID,Type,Site ID,Check-In Date,Check-Out Date,Engine Hours/Day,Idle Hours/Day,Fuel Usage (L/Day),Rental Days,Last Operator ID
EQX1105,Forklift,NULL,2025-08-12,2025-08-16,2.9,4.9,21.4,4,OP156
EQX1106,Loader,S010,2025-03-29,2025-04-20,0.5,21.8,3.6,22,OP145
EQX1107,Crane,S003,2025-04-24,2025-05-23,4.2,2.3,33.6,29,NULL
EQX1108,Forklift,S005,2025-05-01,2025-05-15,1.9,0.9,16.7,14,OP139
EQX1109,Backhoe,S010,2025-08-18,2025-10-06,4.3,3.8,27.9,49,OP140
EQX1110,Backhoe,NULL,2025-10-30,2025-11-09,0.6,17.9,4.4,10,OP120
EQX1111,Crane,S012,2025-08-25,2025-09-19,5.5,2.3,39.7,25,OP129
EQX1112,Bulldozer,S003,2025-02-13,2025-03-08,8.0,6.3,58.0,23,NULL
EQX1113,Forklift,S011,2025-07-29,2025-08-28,4.8,4.0,33.7,30,OP151
EQX1114,Compactor,S010,2025-03-18,2025-05-11,4.1,8.4,25.7,54,OP159
EQX1115,Crane,S012,2025-03-07,2025-03-31,3.6,5.1,22.1,24,OP159
EQX1116,Forklift,S003,2025-09-06,2025-09-24,6.1,9.3,50.4,18,OP119
EQX1117,Excavator,S003,2025-03-09,2025-05-07,6.8,10.8,52.7,59,OP154
EQX1118,Excavator,S012,2025-08-16,2025-08-25,5.7,9.7,37.7,9,OP115
EQX1119,Grader,S007,2025-08-25,2025-09-20,7.8,9.6,40.0,26,OP127
EQX1120,Loader,S012,2025-10-11,2025-11-06,0.9,16.3,6.1,26,OP155
EQX1121,Compactor,S007,2025-06-28,2025-07-28,5.0,11.9,30.9,30,NULL
EQX1122,Excavator,S005,2025-03-16,2025-04-15,6.9,8.5,45.0,30,OP131
EQX1123,Excavator,S012,2025-03-18,2025-03-22,2.8,3.6,13.2,4,OP128
EQX1124,Compactor,S008,2025-02-02,2025-03-02,5.8,8.6,33.7,28,OP102
EQX1125,Excavator,S011,2025-08-02,2025-09-09,2.5,6.1,22.4,38,OP124
EQX1126,Excavator,S006,2025-11-22,2025-12-01,1.3,16.9,6.5,9,OP102
EQX1127,Forklift,S003,2025-06-23,2025-08-04,3.8,7.6,31.0,42,OP144
EQX1128,Crane,S004,2025-05-31,2025-06-14,5.7,11.9,39.6,14,OP121
EQX1129,Loader,S001,2025-05-27,2025-05-30,3.9,5.2,24.6,3,OP122
EQX1130,Backhoe,S009,2025-09-12,2025-10-03,1.6,19.8,11.1,21,OP106
EQX1131,Forklift,S012,2025-06-06,2025-06-10,3.7,8.7,31.8,4,OP145
EQX1132,Compactor,S007,2025-02-08,2025-02-15,6.5,0.4,54.1,7,OP152
EQX1133,Backhoe,S007,2025-11-27,2025-11-30,6.2,11.4,38.3,3,OP103
EQX1134,Crane,S005,2025-07-23,2025-08-10,1.1,6.2,9.5,18,OP108
EQX1135,Crane,S005,2025-04-20,2025-05-18,2.0,0.9,10.6,28,OP132
EQX1136,Backhoe,S009,2025-06-27,2025-07-25,4.1,8.5,31.4,28,OP158
EQX1137,Bulldozer,S003,2025-03-04,2025-03-19,3.2,4.4,26.0,15,OP132
EQX1138,Bulldozer,S012,2025-06-08,2025-06-20,5.9,6.9,29.9,12,OP134
EQX1139,Forklift,S009,2025-09-22,2025-10-09,5.6,6.0,47.1,17,OP112
EQX1140,Crane,S012,2025-03-24,2025-04-04,5.5,3.0,40.5,11,OP134
EQX1141,Loader,S011,2025-10-01,2025-11-10,3.1,8.6,22.4,40,OP138
EQX1142,Excavator,S010,2025-05-16,2025-06-17,2.2,6.5,16.3,32,OP141
EQX1143,Loader,S012,2025-06-02,2025-06-21,5.1,2.4,36.9,19,NULL
EQX1144,Forklift,S006,2025-07-24,2025-08-14,2.9,3.2,16.3,21,OP107
EQX1145,Crane,S003,2025-08-03,2025-09-15,3.9,9.2,26.3,43,OP160
EQX1146,Backhoe,S007,2025-01-12,2025-02-11,3.5,0.6,23.5,30,OP116
EQX1147,Backhoe,S005,2025-08-09,2025-08-16,1.1,15.4,6.7,7,OP149
EQX1148,Loader,S010,2025-10-09,2025-10-31,2.0,18.0,14.0,22,OP108
EQX1149,Forklift,S001,2025-09-18,2025-10-25,1.8,5.7,11.8,37,NULL
EQX1150,Bulldozer,S010,2025-03-25,2025-04-24,7.2,6.1,48.3,30,OP120
EQX1151,Loader,S007,2025-06-19,2025-07-18,8.3,7.6,59.6,29,OP151
EQX1152,Loader,S001,2025-10-23,2025-12-17,5.7,9.3,35.4,55,OP111
EQX1153,Grader,NULL,2025-04-08,2025-04-11,4.5,6.0,32.6,3,OP110
EQX1154,Backhoe,S006,2025-09-23,2025-10-07,5.7,2.1,49.0,14,OP131
EQX1155,Forklift,S004,2025-11-09,2025-11-20,2.3,3.6,13.3,11,OP120
EQX1156,Grader,S012,2025-09-03,2025-09-30,5.4,10.7,33.9,27,OP108
EQX1157,Forklift,S012,2025-01-22,2025-02-06,6.5,9.0,35.5,15,NULL
EQX1158,Loader,S010,2025-02-25,2025-03-08,6.7,7.7,31.7,11,OP104
EQX1159,Compactor,S001,2025-12-15,2025-12-23,2.9,10.6,19.3,8,OP160
EQX1160,Grader,NULL,2025-11-27,2025-12-12,5.4,8.7,47.1,15,OP142
EQX1161,Bulldozer,S007,2025-01-19,2025-01-28,9.6,11.1,81.1,9,OP112
EQX1162,Excavator,S011,2025-06-21,2025-06-28,8.2,6.1,47.0,7,OP132
EQX1163,Crane,S003,2025-11-28,2025-12-16,2.7,8.1,14.5,18,NULL
EQX1164,Compactor,S003,2025-07-25,2025-08-03,3.9,3.1,21.7,9,OP131
EQX1165,Loader,S006,2025-01-06,2025-02-24,6.7,1.9,50.8,49,OP104
EQX1166,Loader,S004,2025-07-08,2025-07-22,3.1,7.3,19.8,14,OP131
EQX1167,Backhoe,S010,2025-05-07,2025-05-22,5.7,4.3,49.2,15,OP106
EQX1168,Crane,S003,2025-04-14,2025-06-01,3.6,2.5,25.6,48,OP155
EQX1169,Crane,S007,2025-08-21,2025-09-01,3.8,3.7,17.5,11,OP104
EQX1170,Loader,NULL,2025-02-07,2025-03-16,2.0,21.5,11.6,37,OP105
EQX1171,Bulldozer,S007,2025-07-11,2025-07-29,9.3,8.2,69.5,18,OP159
EQX1172,Bulldozer,S007,2025-04-02,2025-04-15,9.9,9.1,88.1,13,OP147
EQX1173,Backhoe,S004,2025-09-30,2025-10-27,3.1,10.5,24.6,27,OP123
EQX1174,Excavator,S002,2025-01-09,2025-02-22,5.1,10.5,28.6,44,OP103
EQX1175,Excavator,S001,2025-04-22,2025-05-30,3.6,6.9,25.6,38,OP119
EQX1176,Forklift,S007,2025-12-05,2025-12-11,4.3,8.8,22.7,6,OP104
EQX1177,Compactor,S009,2025-11-26,2025-12-19,4.4,2.2,30.5,23,OP127
EQX1178,Grader,S009,2025-08-26,2025-09-01,5.3,2.9,28.7,6,OP127
EQX1179,Crane,S004,2025-10-02,2025-10-12,2.9,0.5,14.0,10,NULL
EQX1180,Grader,S001,2025-06-05,2025-06-24,7.8,12.0,51.9,19,OP113
EQX1181,Grader,S009,2025-07-23,2025-08-06,4.3,4.3,24.4,14,OP119
EQX1182,Backhoe,S006,2025-06-13,2025-06-30,5.9,1.8,33.5,17,OP103
EQX1183,Compactor,S004,2025-04-28,2025-05-16,7.7,9.2,51.6,18,OP142
EQX1184,Backhoe,S009,2025-03-28,2025-04-15,8.2,11.5,56.2,18,OP159
EQX1185,Crane,S011,2025-07-31,2025-08-13,1.8,5.5,8.6,13,OP146
EQX1186,Backhoe,S001,2025-09-30,2025-10-13,7.1,3.4,48.0,13,NULL
EQX1187,Compactor,S004,2025-02-19,2025-03-06,3.5,9.5,17.0,15,OP134
EQX1188,Compactor,S002,2025-06-03,2025-06-13,0.8,18.2,5.3,10,OP155
EQX1189,Excavator,S006,2025-08-11,2025-08-29,8.8,11.0,48.7,18,OP155
EQX1190,Backhoe,S009,2025-12-17,2025-12-24,3.3,0.2,17.9,7,OP103
EQX1191,Bulldozer,S010,2025-02-09,2025-03-10,8.9,6.5,55.4,29,OP154
EQX1192,Bulldozer,S006,2025-09-14,2025-09-29,6.1,4.1,48.6,15,NULL
EQX1193,Compactor,S006,2025-08-19,2025-09-03,4.6,7.9,22.5,15,OP125
EQX1194,Loader,S007,2025-02-12,2025-02-27,3.1,4.3,15.2,15,OP141
EQX1195,Loader,S003,2025-02-22,2025-03-04,5.9,0.3,35.9,10,OP136
EQX1196,Crane,NULL,2025-07-17,2025-08-11,1.4,10.9,12.5,25,OP150
EQX1197,Bulldozer,S008,2025-05-18,2025-05-31,6.0,5.8,29.1,13,OP111
EQX1198,Loader,S008,2025-11-01,2025-11-28,2.0,10.1,12.4,27,OP120
EQX1199,Forklift,S010,2025-03-11,2025-04-24,3.9,4.8,23.2,44,OP113
EQX1200,Backhoe,S007,2025-07-12,2025-08-09,5.9,6.5,44.6,28,OP160
EQX1201,Excavator,S012,2025-08-13,2025-08-27,7.9,8.1,40.5,14,NULL
EQX1202,Loader,S002,2025-08-05,2025-08-11,5.4,6.1,46.7,6,OP139
EQX1203,Compactor,S002,2025-10-02,2025-10-18,5.9,7.8,27.7,16,OP116
EQX1204,Compactor,NULL,2025-02-24,2025-03-17,6.5,8.3,35.7,21,OP133
EQX1205,Forklift,S001,2025-09-14,2025-11-08,3.5,1.4,30.6,55,OP119
EQX1206,Bulldozer,S006,2025-04-16,2025-05-06,8.1,0.8,38.1,20,OP129
EQX1207,Crane,S012,2025-12-13,2025-12-16,3.8,5.1,25.0,3,OP112
EQX1208,Compactor,NULL,2025-07-22,2025-08-09,4.7,0.1,25.7,18,OP113
EQX1209,Loader,S009,2025-10-23,2025-11-07,3.4,8.0,22.8,15,OP121
EQX1210,Forklift,S006,2025-10-28,2025-11-19,2.0,9.6,17.3,22,OP140
EQX1211,Crane,S003,2025-05-03,2025-05-16,3.6,1.7,22.4,13,OP110
EQX1212,Bulldozer,S005,2025-10-12,2025-10-22,8.9,10.4,78.2,10,OP121
EQX1213,Backhoe,S008,2025-10-15,2025-11-03,4.9,5.9,23.9,19,OP132
EQX1214,Excavator,S009,2025-01-17,2025-02-01,5.2,9.2,36.3,15,OP150
EQX1215,Crane,S001,2025-07-07,2025-08-15,3.7,1.2,30.5,39,OP129
EQX1216,Grader,S002,2025-05-15,2025-06-13,6.7,9.7,47.9,29,OP108
EQX1217,Forklift,S004,2025-03-26,2025-04-20,1.4,3.4,9.7,25,OP152
EQX1218,Forklift,S009,2025-05-17,2025-06-26,5.9,9.0,37.5,40,OP144
EQX1219,Excavator,S012,2025-03-09,2025-03-16,7.3,5.9,51.8,7,OP116
EQX1220,Loader,S002,2025-02-08,2025-03-02,3.9,4.4,34.2,22,OP148
EQX1221,Forklift,S012,2025-08-23,2025-09-04,5.8,11.6,47.6,12,OP105
EQX1222,Backhoe,S003,2025-06-22,2025-06-29,7.5,9.1,35.3,7,OP132
EQX1223,Backhoe,S007,2025-08-14,2025-08-17,8.4,3.6,70.9,3,OP145
EQX1224,Loader,S011,2025-02-12,2025-02-16,6.4,9.1,41.2,4,OP126
EQX1225,Crane,NULL,2025-09-02,2025-09-16,1.6,20.6,14.3,14,OP134
EQX1226,Compactor,S012,2025-04-28,2025-05-12,3.9,1.6,31.1,14,OP107
EQX1227,Bulldozer,S010,2025-09-29,2025-10-12,5.5,9.0,47.5,13,OP129
EQX1228,Backhoe,S010,2025-03-13,2025-03-19,8.7,1.7,50.0,6,OP123
EQX1229,Crane,S012,2025-11-08,2025-12-28,5.2,2.5,37.6,50,NULL
EQX1230,Grader,S002,2025-05-03,2025-05-17,5.6,11.7,50.1,14,OP141
EQX1231,Forklift,S011,2025-08-04,2025-10-01,6.7,0.2,32.2,58,OP131
EQX1232,Loader,S011,2025-07-23,2025-07-29,4.9,1.0,33.9,6,OP150
EQX1233,Bulldozer,S003,2025-09-19,2025-09-26,7.1,7.8,52.5,7,OP126
EQX1234,Loader,S007,2025-01-30,2025-02-13,6.3,8.9,49.3,14,OP140
EQX1235,Crane,S006,2025-03-25,2025-03-28,5.1,4.5,40.2,3,OP151
EQX1236,Loader,S005,2025-06-21,2025-07-05,7.0,0.9,45.8,14,OP117
EQX1237,Forklift,S005,2025-03-27,2025-05-24,4.4,2.7,29.9,58,OP158
EQX1238,Excavator,S003,2025-07-06,2025-07-25,2.2,8.6,16.4,19,OP155
EQX1239,Grader,S010,2025-05-19,2025-06-07,1.0,16.8,4.7,19,OP133
EQX1240,Compactor,S009,2025-06-09,2025-06-13,3.2,3.6,23.4,4,OP124
EQX1241,Backhoe,S004,2025-10-07,2025-10-15,4.9,4.2,40.6,8,OP160
EQX1242,Excavator,S009,2025-06-07,2025-06-23,1.4,22.5,12.1,16,OP127
EQX1243,Compactor,S009,2025-02-13,2025-03-15,4.4,0.7,32.9,30,OP153
EQX1244,Bulldozer,S012,2025-07-21,2025-08-10,1.6,16.6,11.4,20,OP129
EQX1245,Bulldozer,S009,2025-06-10,2025-06-28,4.5,3.2,22.7,18,OP150
EQX1246,Bulldozer,S006,2025-01-21,2025-03-02,4.7,6.2,35.5,40,OP146
EQX1247,Loader,S004,2025-10-12,2025-10-28,7.6,0.1,62.6,16,OP107
EQX1248,Grader,S011,2025-07-10,2025-07-29,3.6,0.3,17.2,19,OP138
EQX1249,Backhoe,NULL,2025-03-04,2025-03-22,8.5,8.7,57.2,18,OP111
EQX1250,Compactor,S005,2025-04-20,2025-05-12,2.9,7.4,21.5,22,OP157
EQX1251,Backhoe,S007,2025-02-01,2025-03-03,6.5,3.0,58.3,30,OP113
EQX1252,Excavator,S008,2025-09-03,2025-10-01,5.5,2.2,32.6,28,OP137
EQX1253,Grader,S008,2025-01-30,2025-02-02,5.5,1.9,30.9,3,OP150
EQX1254,Grader,S007,2025-04-23,2025-04-30,7.9,2.8,46.9,7,OP154
EQX1255,Forklift,S010,2025-10-18,2025-11-03,6.9,5.9,40.6,16,OP154
EQX1256,Backhoe,S009,2025-11-05,2025-11-08,8.4,1.6,64.9,3,OP122
EQX1257,Forklift,S009,2025-03-14,2025-04-18,3.2,4.7,15.9,35,OP105
EQX1258,Loader,S011,2025-11-24,2025-12-12,8.8,11.1,70.8,18,OP146
EQX1259,Grader,S012,2025-07-13,2025-07-26,6.4,11.4,40.1,13,OP112
EQX1260,Excavator,S002,2025-04-24,2025-06-04,0.6,17.8,4.4,41,OP110
EQX1261,Crane,NULL,2025-08-17,2025-09-12,1.3,1.3,5.9,26,OP145
EQX1262,Compactor,S007,2025-07-31,2025-08-10,2.6,10.4,19.3,10,OP125
EQX1263,Grader,NULL,2025-05-31,2025-06-05,2.4,4.5,18.7,5,OP107
EQX1264,Crane,S011,2025-01-16,2025-02-10,1.9,17.6,12.0,25,OP157
EQX1265,Loader,NULL,2025-02-19,2025-03-04,0.2,15.0,1.6,13,OP154
EQX1266,Backhoe,S002,2025-03-29,2025-04-04,4.2,5.9,31.4,6,OP108
EQX1267,Crane,S006,2025-07-09,2025-07-22,2.3,2.7,13.1,13,OP103
EQX1268,Excavator,S009,2025-02-13,2025-02-18,6.1,10.1,49.9,5,OP149
EQX1269,Compactor,S008,2025-10-21,2025-11-16,7.4,6.0,63.3,26,OP126
EQX1270,Bulldozer,S004,2025-03-27,2025-03-31,3.5,2.4,28.7,4,OP128
EQX1271,Bulldozer,S007,2025-02-14,2025-02-26,4.9,10.5,39.4,12,OP155
EQX1272,Compactor,S002,2025-10-18,2025-10-22,6.7,10.4,56.7,4,OP137
EQX1273,Compactor,S001,2025-10-20,2025-11-11,2.9,8.3,13.6,22,OP126
EQX1274,Forklift,S001,2025-05-18,2025-06-06,2.8,5.9,21.4,19,OP151
EQX1275,Crane,S007,2025-06-14,2025-07-02,1.9,9.9,14.9,18,OP106
EQX1276,Forklift,S009,2025-02-03,2025-02-06,6.1,0.3,32.7,3,OP150
EQX1277,Grader,S012,2025-01-26,2025-02-14,6.9,7.6,34.9,19,OP124
EQX1278,Excavator,S008,2025-08-17,2025-10-02,4.4,3.1,36.3,46,OP123
EQX1279,Crane,S004,2025-03-25,2025-04-01,2.1,7.8,14.3,7,OP142
EQX1280,Excavator,S004,2025-11-04,2025-11-14,8.6,8.5,49.4,10,OP152
EQX1281,Compactor,S009,2025-08-27,2025-09-04,1.9,21.3,13.4,8,OP126
EQX1282,Loader,S005,2025-02-02,2025-02-28,3.9,11.4,29.0,26,OP156
EQX1283,Grader,S010,2025-01-30,2025-02-04,6.1,7.9,54.8,5,OP121
EQX1284,Loader,S010,2025-10-26,2025-11-04,7.1,6.4,57.0,9,OP122
EQX1285,Forklift,S003,2025-12-03,2025-12-14,1.8,9.7,14.3,11,OP131
EQX1286,Bulldozer,S012,2025-04-24,2025-05-07,8.5,3.1,49.5,13,OP127
EQX1287,Crane,S002,2025-10-25,2025-12-22,3.5,4.6,20.4,58,OP113
EQX1288,Excavator,S008,2025-07-29,2025-08-16,7.0,5.9,51.4,18,OP156
EQX1289,Bulldozer,S003,2025-08-20,2025-08-28,6.4,1.1,46.5,8,OP111
EQX1290,Compactor,NULL,2025-01-03,2025-01-25,7.7,9.1,53.1,22,OP124
EQX1291,Excavator,S006,2025-04-26,2025-05-09,4.7,2.0,38.6,13,OP107
EQX1292,Loader,S007,2025-11-02,2025-12-26,4.4,4.3,23.5,54,OP109
EQX1293,Compactor,S010,2025-04-19,2025-04-22,4.2,0.4,35.5,3,OP108
EQX1294,Loader,S011,2025-11-01,2025-11-16,2.1,5.0,13.0,15,OP154
EQX1295,Loader,S005,2025-12-18,2025-12-28,6.6,7.3,33.8,10,OP107
EQX1296,Crane,S002,2025-05-25,2025-06-05,2.0,6.3,10.8,11,OP139
EQX1297,Compactor,S012,2025-09-12,2025-10-14,0.2,15.7,1.4,32,OP122
EQX1298,Backhoe,S002,2025-02-08,2025-04-04,3.6,3.6,23.7,55,OP142
EQX1299,Crane,S006,2025-07-04,2025-07-09,1.5,0.6,12.5,5,OP108
EQX1300,Bulldozer,S012,2025-11-15,2025-12-06,5.4,4.8,35.4,21,OP153
